iteration,npc_id,event_type,intent,score,winning_margin,stress,integrity,will_state,mask_active,scores_trace
11,npc_11,object_moved,idle,0.1636,0.0007999999999999952,44.313074505345696,0.05058832952488124,free,False,"{'talk': 0.1375, 'warn': 0.0362, 'intimidate': -0.5408, 'flee': 0.0764, 'attack': -0.5376, 'help': 0.1626, 'report': 0.1628, 'trade': 0.1002, 'observe': 0.008, 'idle': 0.1636}"
12,npc_12,player_asks_why,explain,1.0,1.0,28.52492289469203,0.7833615284842872,deceptive,True,{'explain': 1.0}
13,npc_13,npc_interacts_npc,idle,0.3188,0.06359999999999999,6.852133270379235,0.40377555131827747,loyal,True,"{'talk': 0.2479, 'warn': 0.0038, 'intimidate': -0.136, 'flee': 0.0371, 'help': 0.1082, 'report': 0.2296, 'trade': 0.0876, 'observe': 0.2552, 'idle': 0.3188}"
14,npc_14,player_cast_spell,report,0.297,0.0383,29.999707979876224,0.07254311449315731,loyal,False,"{'talk': 0.1389, 'warn': 0.2587, 'intimidate': -0.294, 'flee': 0.1769, 'help': -0.058, 'report': 0.297, 'trade': 0.0569, 'observe': 0.1121, 'idle': 0.0581}"
15,npc_15,unknown,idle,0.1737,0.06989999999999999,98.38533102514823,0.6678632037125836,free,True,"{'talk': 0.0785, 'warn': -0.0092, 'intimidate': -0.1106, 'flee': 0.0427, 'attack': -0.0068, 'help': 0.1038, 'report': 0.0896, 'trade': 0.039, 'observe': 0.0269, 'idle': 0.1737}"
16,npc_16,object_changed,talk,0.2798,0.37020000000000003,9.229846771273342,0.0035456890877823,broken,True,"{'talk': 0.2798, 'flee': -0.0309, 'observe': 0.0689, 'idle': 0.0629, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
17,npc_17,player_cast_spell,idle,0.5883,0.06169999999999998,4.1828858168857845,0.9721962650172604,broken,True,"{'talk': 0.4005, 'flee': 0.1951, 'observe': 0.5404, 'idle': 0.5883, 'opp_attention_component': 0.0, 'opp_distance_component': 0.0, 'opp_weapon_component': 0.0, 'opp_allies_component': 0.0, 'opp_raw_score': 0.0, 'opp_threshold': 0.65}"
18,npc_18,object_destroyed,report,0.5151,0.04049999999999998,78.23864961476316,0.7350575388278761,coerced,False,"{'talk': 0.1173, 'warn': 0.3294, 'intimidate': -1.0, 'flee': 0.3731, 'attack': -1.0, 'help': 0.0151, 'report': 0.5151, 'trade': 0.3059, 'observe': 0.4746, 'idle': 0.3698}"
19,npc_19,betrayal,observe,0.2765,0.12750000000000003,96.68891040483612,0.39967838436006087,loyal,True,"{'talk': -0.0772, 'warn': 0.1381, 'intimidate': 0.0499, 'flee': -0.058, 'help': 0.0028, 'report': -0.0237, 'trade': 0.0942, 'observe': 0.2765, 'idle': 0.149}"
20,npc_20,theft,observe,0.2311,0.014899999999999997,98.423584931659,0.19007877450229604,deceptive,False,"{'flee': 0.2162, 'observe': 0.2311, 'idle': 0.1741}"
21,npc_21,npc_proximity_close,idle,0.6115,0.386,50.712250403526916,0.697208414194399,coerced,True,"{'talk': 0.2255, 'warn': 0.1432, 'intimidate': -1.0, 'flee': 0.0453, 'attack': -1.0, 'help': 0.1589, 'report': 0.2046, 'trade': -0.0094, 'observe': 0.0653, 'idle': 0.6115}"
22,npc_22,npc_moved,warn,0.4307,0.0038000000000000256,32.22492297365381,0.5111739968745871,coerced,False,"{'talk': 0.1976, 'warn': 0.4307, 'intimidate': -1.0, 'flee': 0.4127, 'attack': -1.0, 'help': 0.0918, 'report': 0.388, 'trade': 0.3432, 'observe': 0.4269, 'idle': 0.3552}"
23,npc_23,npc_state_changed,idle,0.2629,0.07080000000000003,61.12739730606801,0.8861369090509815,deceptive,True,"{'talk': -0.0551, 'warn': 0.0166, 'intimidate': -1.0, 'flee': 0.1434, 'attack': -1.0, 'help': -0.0533, 'report': 0.1835, 'trade': 0.1921, 'observe': 0.0314, 'idle': 0.2629}"
